"TOA5","ROS_4","CR1000","33752","CR1000.Std.19","CPU:ROS04.ROS09.29.6.2012.CR1","44527","ROS04Table05min"
"TIMESTAMP","RECORD","AirTC","RH","PPFD_Avg"
"TS","RN","Deg C","%","umol m-2 s-1"
"","","Smp","Smp","Avg"
"2013-04-30 00:05:00",87636,15.69,88.1,-0.003
"2013-04-30 00:10:00",87637,15.73,88.3,-0.002
"2013-04-30 00:15:00",87638,15.63,88.4,-0.002
"2013-04-30 00:20:00",87639,15.5,88.6,-0.003
"2013-04-30 00:25:00",87640,15.39,88.4,-0.003
"2013-04-30 00:30:00",87641,15.29,88.3,-0.003
"2013-04-30 00:35:00",87642,15.23,88.4,-0.002
"2013-04-30 00:40:00",87643,14.69,88.4,-0.003
"2013-04-30 00:45:00",87644,14.62,88.7,-0.002
"2013-04-30 00:50:00",87645,14.79,90.1,-0.002
"2013-04-30 00:55:00",87646,15.46,90.2,-0.002
"2013-04-30 01:00:00",87647,14.89,88.7,-0.002
"2013-04-30 01:05:00",87648,14.35,89.8,-0.001
"2013-04-30 01:10:00",87649,14.99,90.7,-0.002
"2013-04-30 01:15:00",87650,15.19,90.5,-0.002
"2013-04-30 01:20:00",87651,15.23,90.5,-0.001
"2013-04-30 01:25:00",87652,15.23,90.5,-0.002
"2013-04-30 01:30:00",87653,15.4,90.7,-0.002
"2013-04-30 01:35:00",87654,15.36,90.4,-0.002
"2013-04-30 01:40:00",87655,15.33,90.6,-0.002
"2013-04-30 01:45:00",87656,15.23,90.4,-0.002
"2013-04-30 01:50:00",87657,15.23,90.8,-0.001
"2013-04-30 01:55:00",87658,15.36,91.3,-0.001
"2013-04-30 02:00:00",87659,15.87,92.8,-0.001
"2013-04-30 02:05:00",87660,16.07,92,-0.002
"2013-04-30 02:10:00",87661,16.17,92.2,-0.002
"2013-04-30 02:15:00",87662,16.07,92.2,-0.002
"2013-04-30 02:20:00",87663,15.94,91.8,-0.001
"2013-04-30 02:25:00",87664,15.84,92.5,-0.002
"2013-04-30 02:30:00",87665,15.8,92.2,-0.002
"2013-04-30 02:35:00",87666,15.84,92.6,-0.002
"2013-04-30 02:40:00",87667,15.56,91.9,-0.002
"2013-04-30 02:45:00",87668,15.46,92.2,-0.002
"2013-04-30 02:50:00",87669,15.46,92.7,-0.002
"2013-04-30 02:55:00",87670,15.5,92.8,-0.001
"2013-04-30 03:00:00",87671,15.53,92.7,-0.002
"2013-04-30 03:05:00",87672,15.73,94.7,-0.002
"2013-04-30 03:10:00",87673,15.87,94.8,-0.002
"2013-04-30 03:15:00",87674,15.8,93.6,-0.002
