"TOA5","Cntrl14","CR1000","21086","CR1000.Std.15","CPU:Cntrlsensors14_20130321.CR1","36851","Table1"
"TIMESTAMP","RECORD","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","SoilTemp_Avg(3)","SoilTemp_Avg(4)","SoilTemp_Avg(5)","BattV_Min","PTemp"
"TS","RN","","","","Deg C","Deg C","Deg C","Deg C","Deg C","Volts",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2013-07-31 06:15:00",12550,0.164,0.184,0.207,12.24,12.2,12.33,12.63,12.74,13.53,11.77
"2013-07-31 06:30:00",12551,0.164,0.184,0.207,12.23,12.2,12.32,12.62,12.74,13.52,11.75
"2013-07-31 06:45:00",12552,0.164,0.184,0.207,12.23,12.19,12.31,12.61,12.74,13.52,11.79
"2013-07-31 07:00:00",12553,0.165,0.184,0.207,12.22,12.18,12.31,12.6,12.74,13.53,11.79
"2013-07-31 07:15:00",12554,0.164,0.184,0.207,12.21,12.17,12.29,12.6,12.73,13.53,11.82
"2013-07-31 07:30:00",12555,0.164,0.184,0.207,12.21,12.17,12.29,12.59,12.74,13.53,11.89
"2013-07-31 07:45:00",12556,0.165,0.184,0.207,12.22,12.17,12.28,12.58,12.73,13.52,12
"2013-07-31 08:00:00",12557,0.164,0.184,0.207,12.23,12.18,12.28,12.58,12.73,13.52,12.14
"2013-07-31 08:15:00",12558,0.165,0.184,0.207,12.26,12.2,12.28,12.58,12.73,13.52,12.3
"2013-07-31 08:30:00",12559,0.165,0.184,0.207,12.28,12.22,12.27,12.57,12.73,13.52,12.53
"2013-07-31 08:45:00",12560,0.165,0.184,0.207,12.32,12.25,12.28,12.56,12.72,13.52,13.05
"2013-07-31 09:00:00",12561,0.165,0.184,0.207,12.39,12.3,12.28,12.56,12.73,13.52,13.49
"2013-07-31 09:15:00",12562,0.165,0.184,0.207,12.47,12.37,12.29,12.55,12.73,13.52,13.9
"2013-07-31 09:30:00",12563,0.165,0.184,0.207,12.58,12.46,12.3,12.55,12.72,13.52,14.37
"2013-07-31 09:45:00",12564,0.165,0.184,0.207,12.69,12.57,12.33,12.55,12.71,13.53,15.53
"2013-07-31 10:00:00",12565,0.165,0.184,0.207,12.8,12.69,12.36,12.55,12.71,13.53,16.27
"2013-07-31 10:15:00",12566,0.165,0.184,0.207,12.94,12.85,12.4,12.56,12.71,13.53,16.54
"2013-07-31 10:30:00",12567,0.165,0.184,0.207,13.08,12.99,12.46,12.57,12.71,13.53,16.69
"2013-07-31 10:45:00",12568,0.165,0.184,0.207,13.23,13.14,12.52,12.58,12.72,13.53,16.94
"2013-07-31 11:00:00",12569,0.164,0.184,0.207,13.39,13.29,12.59,12.6,12.72,13.52,17.04
"2013-07-31 11:15:00",12570,0.164,0.184,0.207,13.54,13.44,12.66,12.62,12.71,13.52,17.19
"2013-07-31 11:30:00",12571,0.164,0.184,0.207,13.68,13.58,12.74,12.65,12.72,13.52,17.09
"2013-07-31 11:45:00",12572,0.164,0.184,0.207,13.8,13.69,12.81,12.67,12.72,13.52,16.76
"2013-07-31 12:00:00",12573,0.164,0.184,0.207,13.86,13.77,12.89,12.7,12.72,13.52,16.56
"2013-07-31 12:15:00",12574,0.164,0.184,0.207,13.9,13.82,12.95,12.73,12.71,13.52,16.64
"2013-07-31 12:30:00",12575,0.164,0.184,0.207,13.96,13.87,13.01,12.76,12.72,13.53,16.84
"2013-07-31 12:45:00",12576,0.164,0.184,0.207,14.07,13.97,13.07,12.8,12.72,13.53,16.74
"2013-07-31 13:00:00",12577,0.164,0.184,0.207,14.15,14.06,13.14,12.83,12.72,13.52,16.56
"2013-07-31 13:15:00",12578,0.164,0.184,0.207,14.2,14.11,13.19,12.86,12.72,13.53,16.46
"2013-07-31 13:30:00",12579,0.164,0.184,0.207,14.23,14.15,13.25,12.9,12.73,13.53,16.56
"2013-07-31 13:45:00",12580,0.164,0.184,0.207,14.28,14.19,13.3,12.93,12.74,13.53,16.71
"2013-07-31 14:00:00",12581,0.164,0.184,0.207,14.34,14.26,13.35,12.97,12.75,13.53,16.66
"2013-07-31 14:15:00",12582,0.164,0.184,0.207,14.39,14.31,13.4,13,12.75,13.53,16.44
"2013-07-31 14:30:00",12583,0.164,0.184,0.207,14.39,14.33,13.44,13.03,12.76,13.53,16.09
"2013-07-31 14:45:00",12584,0.164,0.184,0.207,14.36,14.32,13.48,13.07,12.77,13.53,15.77
"2013-07-31 15:00:00",12585,0.164,0.184,0.207,14.34,14.3,13.52,13.1,12.78,13.53,15.46
"2013-07-31 15:15:00",12586,0.164,0.184,0.207,14.3,14.27,13.54,13.13,12.79,13.53,15.24
"2013-07-31 15:30:00",12587,0.164,0.184,0.207,14.27,14.25,13.56,13.16,12.8,13.53,15.09
"2013-07-31 15:45:00",12588,0.164,0.184,0.207,14.24,14.22,13.57,13.18,12.81,13.53,14.97
"2013-07-31 16:00:00",12589,0.164,0.184,0.207,14.21,14.19,13.58,13.21,12.82,13.53,14.83
"2013-07-31 16:15:00",12590,0.164,0.184,0.207,14.18,14.16,13.59,13.24,12.83,13.52,14.64
"2013-07-31 16:30:00",12591,0.164,0.184,0.207,14.14,14.13,13.6,13.26,12.84,13.53,14.44
"2013-07-31 16:45:00",12592,0.164,0.184,0.207,14.1,14.09,13.59,13.27,12.86,13.52,14.23
"2013-07-31 17:00:00",12593,0.164,0.184,0.207,14.06,14.05,13.59,13.29,12.87,13.53,14.04
"2013-07-31 17:15:00",12594,0.164,0.183,0.207,14.02,14.02,13.59,13.3,12.88,13.52,13.75
"2013-07-31 17:30:00",12595,0.164,0.183,0.207,13.97,13.97,13.58,13.32,12.9,13.52,13.33
"2013-07-31 17:45:00",12596,0.164,0.183,0.207,13.91,13.91,13.57,13.33,12.9,13.52,12.81
"2013-07-31 18:00:00",12597,0.164,0.183,0.207,13.81,13.84,13.56,13.33,12.92,13.52,12.19
"2013-07-31 18:15:00",12598,0.164,0.183,0.207,13.7,13.74,13.54,13.35,12.93,13.52,11.61
"2013-07-31 18:30:00",12599,0.164,0.183,0.207,13.58,13.62,13.51,13.35,12.94,13.52,11.02
"2013-07-31 18:45:00",12600,0.164,0.183,0.207,13.46,13.52,13.48,13.35,12.95,13.53,10.43
"2013-07-31 19:00:00",12601,0.164,0.183,0.207,13.34,13.4,13.43,13.35,12.96,13.53,9.91
"2013-07-31 19:15:00",12602,0.164,0.183,0.207,13.23,13.28,13.39,13.34,12.97,13.52,9.48
"2013-07-31 19:30:00",12603,0.164,0.183,0.207,13.11,13.16,13.34,13.34,12.98,13.52,9.1
"2013-07-31 19:45:00",12604,0.164,0.183,0.207,12.99,13.05,13.28,13.33,12.99,13.52,8.75
"2013-07-31 20:00:00",12605,0.164,0.183,0.207,12.89,12.93,13.23,13.31,13,13.52,8.46
"2013-07-31 20:15:00",12606,0.164,0.183,0.207,12.79,12.82,13.17,13.3,13.01,13.52,8.21
"2013-07-31 20:30:00",12607,0.164,0.183,0.207,12.69,12.71,13.11,13.28,13.02,13.52,7.97
"2013-07-31 20:45:00",12608,0.164,0.183,0.207,12.59,12.62,13.04,13.27,13.02,13.52,7.794
"2013-07-31 21:00:00",12609,0.164,0.183,0.207,12.5,12.52,12.98,13.24,13.03,13.52,7.686
