"TOA5","Cntrl15","CR1000","33595","CR1000.Std.19","CPU:Cntrlsensors.CR1","52581","Table1"
"TIMESTAMP","RECORD","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","SoilTemp_Avg(3)","SoilTemp_Avg(4)","SoilTemp_Avg(5)","BattV_Min","PTemp"
"TS","RN","","","","Deg C","Deg C","Deg C","Deg C","Deg C","Volts",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2013-07-31 06:15:00",88886,0.132,0.139,0.158,12.69,12.41,12.76,12.96,13.12,13.38,12.09
"2013-07-31 06:30:00",88887,0.132,0.139,0.158,12.68,12.4,12.75,12.96,13.11,13.38,12.12
"2013-07-31 06:45:00",88888,0.132,0.139,0.158,12.68,12.39,12.75,12.95,13.12,13.38,12.16
"2013-07-31 07:00:00",88889,0.132,0.139,0.158,12.67,12.39,12.74,12.95,13.11,13.37,12.16
"2013-07-31 07:15:00",88890,0.132,0.139,0.158,12.66,12.38,12.73,12.94,13.1,13.37,12.21
"2013-07-31 07:30:00",88891,0.132,0.139,0.158,12.66,12.38,12.73,12.93,13.1,13.37,12.28
"2013-07-31 07:45:00",88892,0.132,0.139,0.158,12.66,12.39,12.72,12.92,13.1,13.37,12.39
"2013-07-31 08:00:00",88893,0.132,0.139,0.158,12.68,12.4,12.71,12.92,13.1,13.38,12.53
"2013-07-31 08:15:00",88894,0.132,0.139,0.158,12.7,12.42,12.71,12.91,13.09,13.37,12.72
"2013-07-31 08:30:00",88895,0.132,0.139,0.158,12.73,12.45,12.7,12.9,13.09,13.37,12.93
"2013-07-31 08:45:00",88896,0.132,0.139,0.158,12.78,12.49,12.71,12.9,13.09,13.37,13.49
"2013-07-31 09:00:00",88897,0.132,0.139,0.158,12.85,12.57,12.71,12.89,13.08,13.37,14.06
"2013-07-31 09:15:00",88898,0.132,0.138,0.158,12.94,12.67,12.72,12.89,13.07,13.36,14.61
"2013-07-31 09:30:00",88899,0.132,0.138,0.158,13.06,12.78,12.74,12.88,13.07,13.37,15.26
"2013-07-31 09:45:00",88900,0.132,0.138,0.158,13.18,12.92,12.77,12.88,13.08,13.37,16.17
"2013-07-31 10:00:00",88901,0.132,0.139,0.158,13.33,13.09,12.8,12.88,13.07,13.37,16.86
"2013-07-31 10:15:00",88902,0.132,0.138,0.158,13.49,13.26,12.85,12.88,13.07,13.38,17.36
"2013-07-31 10:30:00",88903,0.132,0.138,0.158,13.65,13.44,12.89,12.9,13.07,13.38,17.66
"2013-07-31 10:45:00",88904,0.132,0.138,0.158,13.8,13.6,12.96,12.91,13.06,13.38,17.97
"2013-07-31 11:00:00",88905,0.132,0.138,0.158,13.96,13.77,13.02,12.93,13.07,13.36,18.07
"2013-07-31 11:15:00",88906,0.132,0.138,0.158,14.1,13.92,13.09,12.96,13.07,13.36,18.23
"2013-07-31 11:30:00",88907,0.131,0.138,0.158,14.23,14.06,13.17,12.98,13.07,13.36,18.12
"2013-07-31 11:45:00",88908,0.131,0.138,0.158,14.32,14.17,13.25,13.01,13.07,13.37,17.74
"2013-07-31 12:00:00",88909,0.131,0.138,0.158,14.36,14.21,13.33,13.05,13.07,13.37,17.46
"2013-07-31 12:15:00",88910,0.132,0.138,0.158,14.39,14.25,13.4,13.07,13.07,13.37,17.54
"2013-07-31 12:30:00",88911,0.131,0.138,0.158,14.45,14.3,13.45,13.12,13.07,13.37,17.77
"2013-07-31 12:45:00",88912,0.131,0.138,0.158,14.56,14.4,13.51,13.15,13.08,13.38,17.74
"2013-07-31 13:00:00",88913,0.131,0.138,0.158,14.63,14.49,13.57,13.19,13.08,13.37,17.56
"2013-07-31 13:15:00",88914,0.131,0.138,0.158,14.66,14.53,13.62,13.23,13.09,13.37,17.41
"2013-07-31 13:30:00",88915,0.131,0.138,0.158,14.69,14.56,13.68,13.26,13.1,13.37,17.49
"2013-07-31 13:45:00",88916,0.131,0.138,0.158,14.74,14.61,13.73,13.3,13.1,13.37,17.66
"2013-07-31 14:00:00",88917,0.131,0.138,0.158,14.81,14.67,13.78,13.34,13.11,13.36,17.66
"2013-07-31 14:15:00",88918,0.131,0.138,0.158,14.84,14.72,13.82,13.37,13.12,13.36,17.46
"2013-07-31 14:30:00",88919,0.131,0.138,0.158,14.83,14.72,13.87,13.41,13.13,13.37,17.09
"2013-07-31 14:45:00",88920,0.131,0.138,0.158,14.79,14.69,13.91,13.44,13.14,13.38,16.69
"2013-07-31 15:00:00",88921,0.131,0.138,0.158,14.75,14.65,13.94,13.48,13.16,13.38,16.34
"2013-07-31 15:15:00",88922,0.131,0.138,0.158,14.72,14.61,13.97,13.51,13.17,13.37,16.04
"2013-07-31 15:30:00",88923,0.131,0.138,0.158,14.68,14.58,13.99,13.54,13.18,13.35,15.85
"2013-07-31 15:45:00",88924,0.131,0.138,0.158,14.65,14.54,14,13.57,13.2,13.35,15.7
"2013-07-31 16:00:00",88925,0.131,0.138,0.158,14.62,14.5,14.01,13.6,13.21,13.35,15.55
"2013-07-31 16:15:00",88926,0.131,0.138,0.158,14.58,14.46,14.02,13.62,13.23,13.36,15.34
"2013-07-31 16:30:00",88927,0.131,0.138,0.158,14.54,14.42,14.03,13.64,13.24,13.35,15.14
"2013-07-31 16:45:00",88928,0.131,0.138,0.158,14.5,14.38,14.03,13.66,13.26,13.34,14.95
"2013-07-31 17:00:00",88929,0.131,0.138,0.158,14.46,14.34,14.02,13.67,13.27,13.34,14.73
"2013-07-31 17:15:00",88930,0.131,0.138,0.158,14.42,14.29,14.02,13.69,13.29,13.33,14.47
"2013-07-31 17:30:00",88931,0.131,0.138,0.158,14.36,14.23,14.01,13.69,13.29,13.34,14.09
"2013-07-31 17:45:00",88932,0.131,0.138,0.158,14.28,14.15,14,13.7,13.31,13.36,13.56
"2013-07-31 18:00:00",88933,0.131,0.138,0.158,14.18,14.05,13.99,13.71,13.32,13.35,13
"2013-07-31 18:15:00",88934,0.131,0.138,0.158,14.06,13.93,13.97,13.72,13.33,13.34,12.37
"2013-07-31 18:30:00",88935,0.131,0.138,0.158,13.93,13.8,13.94,13.72,13.35,13.35,11.79
"2013-07-31 18:45:00",88936,0.131,0.138,0.158,13.81,13.67,13.9,13.72,13.36,13.36,11.2
"2013-07-31 19:00:00",88937,0.131,0.138,0.158,13.68,13.54,13.86,13.72,13.37,13.38,10.63
"2013-07-31 19:15:00",88938,0.131,0.138,0.158,13.55,13.41,13.82,13.71,13.38,13.36,10.16
"2013-07-31 19:30:00",88939,0.131,0.138,0.158,13.44,13.28,13.77,13.7,13.39,13.36,9.71
"2013-07-31 19:45:00",88940,0.131,0.138,0.158,13.32,13.16,13.71,13.69,13.4,13.36,9.35
"2013-07-31 20:00:00",88941,0.131,0.138,0.158,13.2,13.04,13.66,13.68,13.41,13.35,9.03
"2013-07-31 20:15:00",88942,0.131,0.138,0.158,13.1,12.93,13.6,13.66,13.42,13.35,8.77
"2013-07-31 20:30:00",88943,0.131,0.138,0.158,12.99,12.82,13.54,13.64,13.43,13.35,8.48
"2013-07-31 20:45:00",88944,0.131,0.138,0.158,12.89,12.7,13.48,13.61,13.43,13.33,8.28
"2013-07-31 21:00:00",88945,0.131,0.138,0.158,12.79,12.6,13.42,13.58,13.43,13.33,8.15
