"TOA5","ROS_4","CR1000","33752","CR1000.Std.19","CPU:ROS04.ROS09.29.6.2012.CR1","44527","ROS04Table15min"
"TIMESTAMP","RECORD","Rain_mm_Tot","VW(1)","VW(2)","VW(3)","VW(4)","VW(5)","VW(6)","VW(7)","VW(8)","PA_uS(1)","PA_uS(2)","PA_uS(3)","PA_uS(4)","PA_uS(5)","PA_uS(6)","PA_uS(7)","PA_uS(8)","HalfBR_Avg(1)","HalfBR_Avg(2)","HalfBR_Avg(3)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","SoilTemp_Avg(3)"
"TS","RN","mm","","","","","","","","","uSec","uSec","uSec","uSec","uSec","uSec","uSec","uSec","mV/mV","mV/mV","mV/mV","Deg C","Deg C","Deg C"
"","","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2013-07-31 00:15:00",38042,0,0.317,0.254,-0.005,-0.007,0.037,0.052,0.044,-0.004,28.32,26.35,14.87,14.76,17.47,18.27,17.85,14.95,0.336,0.323,0.322,13.5,14.71,14.88
"2013-07-31 00:30:00",38043,0,0.317,0.253,-0.005,-0.007,0.037,0.052,0.044,-0.004,28.32,26.34,14.87,14.76,17.47,18.27,17.85,14.95,0.337,0.324,0.322,13.4,14.62,14.8
"2013-07-31 00:45:00",38044,0,0.317,0.254,-0.005,-0.007,0.037,0.052,0.044,-0.004,28.32,26.35,14.87,14.76,17.47,18.27,17.84,14.95,0.338,0.325,0.323,13.28,14.53,14.71
"2013-07-31 01:00:00",38045,0,0.317,0.253,-0.005,-0.007,0.037,0.052,0.044,-0.004,28.32,26.34,14.87,14.76,17.47,18.27,17.85,14.95,0.339,0.326,0.324,13.17,14.44,14.62
"2013-07-31 01:15:00",38046,0,0.317,0.253,-0.005,-0.007,0.037,0.052,0.044,-0.004,28.32,26.34,14.88,14.76,17.47,18.27,17.85,14.96,0.34,0.327,0.325,13.07,14.34,14.52
"2013-07-31 01:30:00",38047,0,0.317,0.253,-0.005,-0.007,0.037,0.052,0.044,-0.004,28.32,26.34,14.87,14.76,17.47,18.27,17.85,14.95,0.341,0.328,0.326,12.98,14.25,14.43
"2013-07-31 01:45:00",38048,0,0.317,0.253,-0.005,-0.007,0.037,0.052,0.044,-0.004,28.32,26.34,14.88,14.76,17.47,18.27,17.85,14.95,0.342,0.329,0.327,12.9,14.15,14.33
"2013-07-31 02:00:00",38049,0,0.317,0.253,-0.005,-0.007,0.037,0.052,0.044,-0.004,28.33,26.34,14.88,14.77,17.47,18.27,17.85,14.95,0.343,0.33,0.328,12.84,14.06,14.24
