"TOA5","ROS_WS","CR3000","4909","CR3000.Std.11","CPU:weather_station_final.CR3","30238","Table15min"
"TIMESTAMP","RECORD","Rain_mm_Tot","ASoilTemp_Avg","PTemp_C_Avg","VW_Avg","VW_2_Avg","VW_3_Avg","HalfBR_Avg(1)","HalfBR_Avg(2)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","shf_mv_Avg","shf_Avg"
"TS","RN","mm","Deg C","Deg C","","","","mV/mV","mV/mV","Deg C","Deg C","mV","W/m^2"
"","","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2013-07-31 00:15:00",93839,0,12.14,10.97,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.459,-7.448
"2013-07-31 00:30:00",93840,0,12.03,10.7,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.519,-8.43
"2013-07-31 00:45:00",93841,0,11.95,10.54,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.558,-9.06
"2013-07-31 01:00:00",93842,0,11.83,10.49,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.582,-9.44
"2013-07-31 01:15:00",93843,0,11.72,10.63,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.549,-8.91
"2013-07-31 01:30:00",93844,0,11.73,10.91,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.478,-7.76
"2013-07-31 01:45:00",93845,0,11.8,11.15,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.433,-7.034
"2013-07-31 02:00:00",93846,0,11.79,11.34,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.419,-6.798
"2013-07-31 02:15:00",93847,0,11.75,11.54,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.397,-6.45
"2013-07-31 02:30:00",93848,0,11.72,11.76,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.365,-5.929
"2013-07-31 02:45:00",93849,0,11.74,12.02,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.334,-5.416
"2013-07-31 03:00:00",93850,0,11.76,12.23,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.314,-5.097
"2013-07-31 03:15:00",93851,0,11.79,12.41,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.291,-4.717
"2013-07-31 03:30:00",93852,0,11.8,12.54,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.27,-4.39
"2013-07-31 03:45:00",93853,0,11.81,12.68,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.254,-4.121
"2013-07-31 04:00:00",93854,0,11.84,12.79,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.241,-3.904
"2013-07-31 04:15:00",93855,0,11.86,12.85,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.232,-3.762
"2013-07-31 04:30:00",93856,0,11.88,12.86,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.226,-3.676
"2013-07-31 04:45:00",93857,0,11.88,12.84,0.091,0.064,0.166,"NAN","NAN","NAN","NAN",-0.222,-3.604
"2013-07-31 05:00:00",93858,0,11.87,12.83,0.091,0.064,0.166,"NAN","NAN","NAN","NAN",-0.218,-3.532
"2013-07-31 05:15:00",93859,0,11.88,12.82,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.215,-3.49
"2013-07-31 05:30:00",93860,0,11.87,12.81,0.091,0.064,0.166,"NAN","NAN","NAN","NAN",-0.216,-3.512
"2013-07-31 05:45:00",93861,0,11.87,12.83,0.091,0.064,0.166,"NAN","NAN","NAN","NAN",-0.22,-3.57
"2013-07-31 06:00:00",93862,0,11.87,12.83,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.222,-3.605
"2013-07-31 06:15:00",93863,0,11.86,12.84,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.219,-3.558
"2013-07-31 06:30:00",93864,0,11.85,12.85,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.222,-3.599
"2013-07-31 06:45:00",93865,0,11.83,12.88,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.222,-3.602
"2013-07-31 07:00:00",93866,0,11.83,12.93,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.218,-3.54
"2013-07-31 07:15:00",93867,0,11.83,12.98,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.216,-3.501
"2013-07-31 07:30:00",93868,0,11.83,13.03,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.208,-3.378
"2013-07-31 07:45:00",93869,0,11.84,13.09,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.189,-3.063
"2013-07-31 08:00:00",93870,0,11.86,13.17,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.149,-2.423
"2013-07-31 08:15:00",93871,0,11.91,13.26,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.098,-1.586
"2013-07-31 08:30:00",93872,0,11.94,13.34,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",-0.058,-0.946
"2013-07-31 08:45:00",93873,0,11.93,13.52,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",0.005,0.075
"2013-07-31 09:00:00",93874,0,12.02,13.86,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",0.124,2.015
"2013-07-31 09:15:00",93875,0,12.15,14.21,0.091,0.064,0.165,"NAN","NAN","NAN","NAN",0.237,3.852
"2013-07-31 09:30:00",93876,0,12.28,14.54,0.091,0.064,0.164,"NAN","NAN","NAN","NAN",0.337,5.47
"2013-07-31 09:45:00",93877,0,12.38,14.97,0.091,0.064,0.164,"NAN","NAN","NAN","NAN",0.416,6.759
"2013-07-31 10:00:00",93878,0,12.53,15.64,0.091,0.064,0.164,"NAN","NAN","NAN","NAN",0.497,8.07
"2013-07-31 10:15:00",93879,0,12.73,16.18,0.091,0.064,0.164,"NAN","NAN","NAN","NAN",0.606,9.84
"2013-07-31 10:30:00",93880,0,12.88,16.47,0.091,0.064,0.163,"NAN","NAN","NAN","NAN",0.701,11.38
"2013-07-31 10:45:00",93881,0,13.01,16.73,0.091,0.064,0.163,"NAN","NAN","NAN","NAN",0.823,13.37
"2013-07-31 11:00:00",93882,0,13.2,16.96,0.09,0.064,0.163,"NAN","NAN","NAN","NAN",0.92,14.93
"2013-07-31 11:15:00",93883,0,13.3,17.11,0.09,0.064,0.162,"NAN","NAN","NAN","NAN",0.969,15.74
"2013-07-31 11:30:00",93884,0,13.48,17.24,0.091,0.064,0.162,"NAN","NAN","NAN","NAN",1.034,16.79
"2013-07-31 11:45:00",93885,0,13.68,17.09,0.091,0.064,0.162,"NAN","NAN","NAN","NAN",0.963,15.63
"2013-07-31 12:00:00",93886,0,13.72,16.56,0.091,0.064,0.162,"NAN","NAN","NAN","NAN",0.817,13.26
"2013-07-31 12:15:00",93887,0,13.48,16.36,0.091,0.064,0.162,"NAN","NAN","NAN","NAN",0.779,12.65
"2013-07-31 12:30:00",93888,0,13.48,16.69,0.09,0.064,0.162,"NAN","NAN","NAN","NAN",0.901,14.63
"2013-07-31 12:45:00",93889,0,13.7,17,0.09,0.064,0.162,"NAN","NAN","NAN","NAN",0.993,16.12
"2013-07-31 13:00:00",93890,0,13.79,17.04,0.09,0.064,0.161,"NAN","NAN","NAN","NAN",0.951,15.44
"2013-07-31 13:15:00",93891,0,13.78,16.97,0.09,0.064,0.161,"NAN","NAN","NAN","NAN",0.865,14.04
"2013-07-31 13:30:00",93892,0,13.75,16.95,0.09,0.064,0.161,"NAN","NAN","NAN","NAN",0.85,13.8
"2013-07-31 13:45:00",93893,0,13.79,17.11,0.09,0.064,0.161,"NAN","NAN","NAN","NAN",0.918,14.91
