"TOA5","WTC01","CR1000","33590","CR1000.Std.19","CPU:WTCsensors_Ch1.CR1","47130","Table1"
"TIMESTAMP","RECORD","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","SoilTempProbe_Avg(1)","SoilTempProbe_Avg(2)","SoilTempProbe_Avg(3)","SoilTempProbe_Avg(4)","SoilTempProbe_Avg(5)","SoilTempProbe_Avg(6)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","BattV_Min","PTemp"
"TS","RN","","","","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Volts",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2013-07-31 06:15:00",18135,0.116,0.154,0.165,12.59,12.58,12.69,13.22,13.06,13.18,13.06,13,13.41,13.61
"2013-07-31 06:30:00",18136,0.116,0.154,0.165,12.58,12.56,12.69,13.22,13.05,13.17,13.05,12.99,13.42,13.61
"2013-07-31 06:45:00",18137,0.116,0.154,0.165,12.57,12.56,12.67,13.2,13.05,13.17,13.04,12.98,13.42,13.64
"2013-07-31 07:00:00",18138,0.116,0.154,0.164,12.55,12.56,12.65,13.19,13.04,13.17,13.03,12.98,13.42,13.64
"2013-07-31 07:15:00",18139,0.116,0.154,0.164,12.55,12.55,12.65,13.18,13.05,13.18,13.02,12.97,13.42,13.66
"2013-07-31 07:30:00",18140,0.116,0.154,0.164,12.55,12.55,12.64,13.17,13.05,13.17,13.01,12.96,13.42,13.71
"2013-07-31 07:45:00",18141,0.116,0.154,0.164,12.56,12.55,12.64,13.17,13.04,13.18,13,12.96,13.42,13.82
"2013-07-31 08:00:00",18142,0.116,0.154,0.164,12.59,12.55,12.63,13.17,13.05,13.18,13.01,12.96,13.42,13.92
"2013-07-31 08:15:00",18143,0.116,0.154,0.164,12.61,12.56,12.62,13.17,13.05,13.18,13.02,12.98,13.42,13.99
"2013-07-31 08:30:00",18144,0.116,0.154,0.164,12.64,12.57,12.62,13.17,13.04,13.19,13.05,13,13.42,14.11
"2013-07-31 08:45:00",18145,0.116,0.154,0.164,12.71,12.59,12.62,13.17,13.03,13.18,13.07,13.02,13.42,14.32
"2013-07-31 09:00:00",18146,0.116,0.154,0.164,12.83,12.64,12.63,13.17,13.04,13.2,13.12,13.06,13.42,14.66
"2013-07-31 09:15:00",18147,0.116,0.154,0.164,12.92,12.72,12.64,13.17,13.03,13.2,13.19,13.12,13.42,14.95
"2013-07-31 09:30:00",18148,0.115,0.154,0.164,13.05,12.76,12.64,13.17,13.03,13.22,13.26,13.19,13.42,15.19
"2013-07-31 09:45:00",18149,0.115,0.154,0.164,13.22,12.85,12.66,13.17,13.03,13.22,13.37,13.27,13.42,15.43
"2013-07-31 10:00:00",18150,0.115,0.154,0.164,13.41,12.94,12.7,13.17,13.03,13.22,13.5,13.39,13.41,15.73
"2013-07-31 10:15:00",18151,0.115,0.154,0.164,13.62,13.07,12.74,13.17,13.02,13.22,13.65,13.52,13.42,16.09
"2013-07-31 10:30:00",18152,0.115,0.154,0.164,13.71,13.21,12.78,13.17,13.02,13.22,13.79,13.64,13.42,16.44
"2013-07-31 10:45:00",18153,0.115,0.154,0.164,13.85,13.29,12.82,13.17,13.02,13.24,13.91,13.75,13.42,16.76
"2013-07-31 11:00:00",18154,0.115,0.154,0.164,13.98,13.39,12.88,13.17,13.02,13.24,14.05,13.87,13.42,17.06
