"TOA5","WTC04","CR1000","33309","CR1000.Std.19","CPU:WTCsensors_ch4.CR1","45689","Table1"
"TIMESTAMP","RECORD","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","SoilTempProbe_Avg(1)","SoilTempProbe_Avg(2)","SoilTempProbe_Avg(3)","SoilTempProbe_Avg(4)","SoilTempProbe_Avg(5)","SoilTempProbe_Avg(6)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","BattV_Min","PTemp"
"TS","RN","","","","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Volts",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2013-07-31 06:15:00",83879,0.119,0.132,0.181,14.64,14.75,14.79,14.47,14.15,13.95,14.97,14.8,13.53,13.87
"2013-07-31 06:30:00",83880,0.119,0.132,0.181,14.62,14.75,14.79,14.47,14.14,13.95,14.96,14.8,13.53,13.87
"2013-07-31 06:45:00",83881,0.119,0.132,0.181,14.6,14.74,14.79,14.47,14.14,13.95,14.95,14.8,13.53,13.87
"2013-07-31 07:00:00",83882,0.119,0.132,0.181,14.57,14.71,14.77,14.47,14.14,13.95,14.94,14.79,13.54,13.9
"2013-07-31 07:15:00",83883,0.119,0.132,0.181,14.56,14.7,14.77,14.47,14.14,13.95,14.93,14.78,13.53,13.92
"2013-07-31 07:30:00",83884,0.119,0.132,0.181,14.57,14.7,14.76,14.46,14.14,13.95,14.93,14.77,13.53,13.97
"2013-07-31 07:45:00",83885,0.119,0.132,0.181,14.59,14.7,14.75,14.46,14.13,13.96,14.92,14.77,13.53,14.06
"2013-07-31 08:00:00",83886,0.119,0.132,0.181,14.64,14.7,14.75,14.43,14.12,13.96,14.93,14.78,13.53,14.16
"2013-07-31 08:15:00",83887,0.119,0.132,0.181,14.68,14.72,14.74,14.43,14.12,13.96,14.94,14.79,13.53,14.28
"2013-07-31 08:30:00",83888,0.119,0.132,0.181,14.74,14.75,14.74,14.41,14.11,13.96,14.97,14.81,13.53,14.4
"2013-07-31 08:45:00",83889,0.119,0.132,0.181,14.84,14.77,14.74,14.41,14.1,13.96,15,14.83,13.53,14.66
"2013-07-31 09:00:00",83890,0.119,0.132,0.181,14.99,14.84,14.74,14.41,14.1,13.96,15.05,14.88,13.53,14.97
"2013-07-31 09:15:00",83891,0.119,0.132,0.181,15.16,14.94,14.75,14.41,14.1,13.96,15.12,14.94,13.53,15.34
"2013-07-31 09:30:00",83892,0.119,0.132,0.181,15.34,15.02,14.78,14.41,14.09,13.97,15.2,15.02,13.53,15.58
"2013-07-31 09:45:00",83893,0.119,0.132,0.181,15.58,15.13,14.81,14.39,14.09,13.97,15.31,15.11,13.53,15.85
"2013-07-31 10:00:00",83894,0.119,0.132,0.181,15.86,15.27,14.84,14.4,14.09,13.97,15.43,15.24,13.53,16.19
"2013-07-31 10:15:00",83895,0.119,0.132,0.181,16.09,15.48,14.89,14.41,14.08,13.98,15.56,15.39,13.53,16.54
"2013-07-31 10:30:00",83896,0.119,0.132,0.181,16.22,15.61,14.94,14.41,14.08,13.98,15.71,15.54,13.54,16.94
"2013-07-31 10:45:00",83897,0.119,0.131,0.181,16.38,15.73,15,14.44,14.08,13.97,15.84,15.67,13.53,17.34
"2013-07-31 11:00:00",83898,0.119,0.131,0.181,16.5,15.85,15.1,14.46,14.08,13.98,15.98,15.79,13.53,17.64
