"TOA5","WTC05","CR1000","33591","CR1000.Std.19","CPU:WTCsensors_Ch5_leafT.CR1","863","Table1"
"TIMESTAMP","RECORD","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","SoilTempProbe_Avg(1)","SoilTempProbe_Avg(2)","SoilTempProbe_Avg(3)","SoilTempProbe_Avg(4)","SoilTempProbe_Avg(5)","SoilTempProbe_Avg(6)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","BattV_Min","PTemp"
"TS","RN","","","","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Volts",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2013-07-31 06:15:00",84461,0.112,0.144,0.161,12.66,12.6,12.84,13.08,13.09,13.16,12.97,12.98,13.49,14.66
"2013-07-31 06:30:00",84462,0.112,0.144,0.161,12.65,12.6,12.84,13.09,13.08,13.15,12.96,12.97,13.49,14.68
"2013-07-31 06:45:00",84463,0.112,0.144,0.161,12.64,12.59,12.83,13.07,13.09,13.16,12.96,12.97,13.49,14.71
"2013-07-31 07:00:00",84464,0.112,0.144,0.161,12.62,12.6,12.83,13.07,13.08,13.16,12.95,12.96,13.49,14.71
"2013-07-31 07:15:00",84465,0.112,0.144,0.161,12.6,12.59,12.82,13.07,13.08,13.16,12.94,12.95,13.5,14.75
"2013-07-31 07:30:00",84466,0.112,0.144,0.161,12.62,12.59,12.81,13.06,13.07,13.16,12.93,12.95,13.5,14.8
"2013-07-31 07:45:00",84467,0.112,0.144,0.161,12.65,12.59,12.8,13.06,13.07,13.16,12.93,12.95,13.5,14.88
"2013-07-31 08:00:00",84468,0.112,0.144,0.161,12.69,12.59,12.79,13.05,13.07,13.17,12.93,12.95,13.5,14.97
"2013-07-31 08:15:00",84469,0.112,0.144,0.161,12.75,12.6,12.79,13.04,13.07,13.16,12.95,12.96,13.5,15.14
"2013-07-31 08:30:00",84470,0.112,0.144,0.161,12.78,12.61,12.79,13.03,13.07,13.17,12.96,12.97,13.5,15.26
"2013-07-31 08:45:00",84471,0.112,0.144,0.161,12.88,12.64,12.79,13.03,13.07,13.16,12.99,13,13.5,15.53
"2013-07-31 09:00:00",84472,0.113,0.144,0.161,13.05,12.71,12.79,13.02,13.07,13.17,13.03,13.04,13.5,15.85
"2013-07-31 09:15:00",84473,0.113,0.144,0.161,13.19,12.78,12.81,13.02,13.07,13.17,13.09,13.09,13.5,16.17
"2013-07-31 09:30:00",84474,0.112,0.144,0.161,13.35,12.88,12.82,13.02,13.07,13.17,13.15,13.16,13.5,16.46
"2013-07-31 09:45:00",84475,0.112,0.144,0.161,13.59,12.99,12.86,13.02,13.06,13.18,13.24,13.25,13.5,16.81
"2013-07-31 10:00:00",84476,0.113,0.144,0.161,13.85,13.18,12.88,13.03,13.06,13.18,13.33,13.37,13.5,17.19
"2013-07-31 10:15:00",84477,0.113,0.144,0.161,14.1,13.35,12.92,13.03,13.06,13.18,13.45,13.53,13.5,17.46
"2013-07-31 10:30:00",84478,0.113,0.144,0.161,14.22,13.48,12.98,13.04,13.06,13.18,13.58,13.66,13.5,17.79
"2013-07-31 10:45:00",84479,0.113,0.144,0.161,14.38,13.59,13.04,13.06,13.06,13.18,13.69,13.77,13.5,18.1
"2013-07-31 11:00:00",84480,0.112,0.144,0.161,14.49,13.72,13.1,13.07,13.05,13.17,13.82,13.88,13.49,18.35
